geometry,altitude,latitude,longitude,name
1,69.61,37.45516478,127.1333184,AI공학관 1층 흡연장 정문
2,72.61,37.45447934,127.1334498,AI공학관 길목
3,69.61,37.45580045,127.1332206,제3기숙사 정문
4,69.61,37.45572891,127.1335289,제3기숙사 편의점
5,69.61,37.45564805,127.1333016,제3기숙사 통로
6,69.61,37.45561718,127.1331796,제3기숙사 학생식당
7,69.61,37.45524106,127.1333121,AI공학관 흡연장 코너
8,69.61,37.45535404,127.1336504,AI공학관 횡단보도 앞
9,69.61,37.45521017,127.1337646,AI공학관 1층 횡단보도 정문
10,69.61,37.45537801,127.1337337,AI공학관 횡단보도 코너
11,69.61,37.45527399,127.1341269,AI공학관 1층 본관 정문
12,93.5,37.45538466,127.1346175,AI공학관 무당이 정류장
13,93.5,37.45510859,127.1351728,운동장
14,93.5,37.45600871,127.1346189,제2기숙사
15,93.5,37.45583443,127.1346819,제2기숙사 흡연장 앞
16,93.5,37.45523105,127.1347484,운동장 앞 AI공학관 길목
17,93.5,37.45421667,127.1348645,운동장 초입
18,93.5,37.45409004,127.1349429,운동장 도보
19,76.81,37.45408877,127.1338089,AI공학관 올라가는 길목
20,77.11,37.45397786,127.1338567,AI공학관 더 올라가는 길목
21,82.7,37.45375534,127.1338641,총학생회관 더 내려가는 길목
22,83.6,37.45356042,127.1339295,총학생회관 내려가는 길목
23,84,37.45340856,127.1339333,총학생회관 무당이 정류장
24,87.5,37.45372909,127.1348147,운동장-총학생회관 길목
25,85,37.45349623,127.1342867,총학생회관 횡단보도
26,90,37.45337853,127.1343858,총학생회관 옆 통문
27,91.5,37.45327443,127.1340909,총학생회관 정문
28,91.5,37.45308942,127.1342281,총학생회관 중앙도서관쪽 통문
29,90,37.45280735,127.1338583,총학생회관 중앙도서관 계단
30,84,37.45306595,127.1335783,중앙도서관-총학생회관 길목
31,84,37.45295031,127.1337096,총학생회관 내려가는 길목
32,83.8,37.45341172,127.1341064,총학생회관 앞 길목
33,83.8,37.45334925,127.1340015,총학생회관 정문 길목
34,82.8,37.45271936,127.1328255,중앙도서관 정문 길목
35,82.8,37.45256534,127.1329195,중앙도서관 정문
36,82.8,37.45280828,127.1330256,중앙도서관 길목
37,83.5,37.45254053,127.1323531,중앙도서관 흡연구역 입구
38,83.5,37.45242688,127.1320595,교육대학원-중앙도서관 길목
39,52,37.45067585,127.1270395,반도체대학 흡연구역
40,84.2,37.45222453,127.1315614,교육대학원 무당이 정류장
41,87.9,37.45203042,127.1316851,교육대학원 정문
42,97.5,37.45605944,127.1350374,제1기숙사
43,98.8,37.4559016,127.1355316,제1기숙사 주차장
44,84.2,37.45211016,127.1314069,교육대학원 앞 횡단보도
45,85,37.45202155,127.1310647,바람개비동산 보도
46,83.8,37.45245631,127.1308155,바람개비동산 보도 끝
47,82.7,37.45166469,127.131161,교육대학원 학식
48,83.8,37.45180798,127.131107,바람개비동산쪽 횡단보도
49,77.6,37.45122763,127.1309377,가천고개 올라가는 길
50,77.6,37.45129187,127.1308278,가천고개 내려가는 길
51,70.2,37.45090411,127.1303585,가천고개 시작 횡단보도
52,70.2,37.45105499,127.1303741,가천고개 끝
53,70.2,37.45094993,127.1302235,가천고개 향하는 횡단보도
54,68.2,37.45085648,127.1301411,가천관 내려가는 길
55,68.2,37.45074452,127.1300972,가천관 쪽문
56,66.2,37.45096188,127.1298078,가천관 코너
57,66.2,37.45050583,127.1296082,가천관 정문
58,66.2,37.45013067,127.1294447,가천관 길목
59,66.2,37.45019238,127.1292529,가천관 - 공과대학 횡단보도
60,66.2,37.45003035,127.129184,공과대학-가천관 횡단보도
61,56.1,37.45048746,127.1280814,광장계단 근처
62,56.1,37.45036267,127.1279902,바나연 코너 횡단보도
63,56.1,37.45054107,127.1281145,광장 내려가는 계단 앞
64,49.7,37.45076689,127.1282279,가천관 올라가는 계단
65,56.1,37.4503631,127.1278374,비전타워-바나연 횡단보도
66,56.1,37.45044916,127.1274609,비전타워-반도체대학
67,56,37.44971546,127.1278361,바이오나노연구원 앞 엘리베이터
68,55.3,37.44938192,127.127605,비전타워B
69,55.8,37.45043434,127.1275382,비전타워-반도체대학동산 횡단보도
70,55.8,37.45062308,127.1276374,반도체대학 앞 동산 횡단보도
71,66.2,37.44944363,127.1289234,공과대학-산학협력관 계단
